Id;Name;AlsoKnownAs;LatinName;Length;Weight;TopSpeed
1;White shark;White death;Carcharodon carcharias;6.1;1950;56
2;Bull shark;Zambesi shark;Carcharhinus leucas;2.4;130;42
3;Grey reef shark;;Carcharhinus amblyrhynchos;1.9;38;61
4;Grey nurse shark;Raggedtooth shark;Carcharias taurus;3.2;91;
5;Nurse shark;;Ginglymostoma cirratum;3.08;330;
6;Mako shark;;Isurus oxyrinchus;4.5;800;57
7;Lemon shark;;Negaprion brevirostris;3.0;183;57
8;Tiger shark;Sea Tiger;Galeocerdo cuvier;5.3;635;
9;Bronze whaler shark;Copper shark;Carcharhinus brachyurus;3.3;270;
10;Sand shark;Sand tiger sharks;Carcharias taurus;3.2;210;48
11;Hammerhead shark;;Sphyrna lewini;5.8;580;
12;Sandbar shark;Brown shark;Carcharhinus plumbeus;1.6;95;
13;Wobbegong shark;Shovelnose shark;Orectolobus hutchinsi;1.5;107;
14;Blue shark;;Prionace glauca;2.82;54;38
15;Spinner shark;;Carcharhinus brevipinna;2.9;134;40
16;Dusky shark;;Carcharhinus obscurus;4.2;374;
17;Sevengill shark;Broadnose sevengill shark;Notorynchus cepedianus;0.6;36;34
18;Blacktip shark;;Carcharhinus limbatus;1.5;112;38
19;Carpet shark;;Rhincodon typus;12.0;3240;29
20;Salmon shark;;Lamna ditropis;4.3;450;
